City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,15.09,94,100,1.03,CA,1695176179
1,grytviken,-54.2811,-36.5092,-8.49,82,14,4.33,GS,1695176257
2,talnakh,69.4865,88.3972,4.56,96,100,8.81,RU,1695176257
3,chelno-vershiny,54.4333,51.1,7.02,59,15,0.53,RU,1695176257
4,daru,-9.0763,143.2092,26.58,81,80,5.95,PG,1695176257
5,west island,-12.1568,96.8225,25.99,78,75,5.14,CC,1695176258
6,sisimiut,66.9395,-53.6735,1.84,68,6,2.74,GL,1695176258
7,nangong,37.3581,115.3744,22.54,52,46,3.94,CN,1695176258
8,port elizabeth,-33.918,25.5701,16.29,77,72,2.68,ZA,1695175960
9,minas de marcona,-15.2119,-75.1103,14.05,85,33,4.26,PE,1695176258
10,bethel,41.3712,-73.414,15.92,84,0,0.0,US,1695176146
11,margaret river,-33.95,115.0667,14.92,56,99,1.17,AU,1695176259
12,port-aux-francais,-49.35,70.2167,0.96,66,99,16.05,TF,1695176259
13,lompoc,34.6391,-120.4579,19.45,82,2,1.79,US,1695176009
14,hermanus,-34.4187,19.2345,13.78,79,2,7.97,ZA,1695176259
15,iskateley,67.6803,53.1512,5.3,92,100,3.46,RU,1695176259
16,hamilton,39.1834,-84.5333,19.44,68,0,3.09,US,1695176118
17,karratha,-20.7377,116.8463,28.32,41,24,3.11,AU,1695176259
18,encruzilhada do sul,-30.5439,-52.5219,16.22,99,100,1.88,BR,1695175996
19,walvis bay,-22.9575,14.5053,11.72,93,0,4.22,NA,1695176260
20,port mathurin,-19.6833,63.4167,22.86,84,1,9.83,MU,1695176260
21,waitangi,-43.9535,-176.5597,14.9,82,0,5.64,NZ,1695176260
22,lebu,-37.6167,-73.65,9.15,75,100,6.79,CL,1695176260
23,ushuaia,-54.8,-68.3,2.81,81,75,3.09,AR,1695176260
24,tulun,54.5611,100.5792,14.47,65,13,1.07,RU,1695176260
25,bilibino,68.0546,166.4372,3.58,54,99,1.38,RU,1695176261
26,rio grande,-32.035,-52.0986,17.19,97,100,8.2,BR,1695176261
27,blackmans bay,-43.0167,147.3167,13.18,58,5,10.1,AU,1695176261
28,port lincoln,-34.7333,135.8667,15.99,60,50,9.59,AU,1695176261
29,albany,42.6001,-73.9662,14.89,81,0,0.89,US,1695176118
30,port blair,11.6667,92.75,28.02,83,40,1.54,IN,1695176261
31,ust-nera,64.5667,143.2,1.07,71,100,5.0,RU,1695176261
32,bagan,54.1001,77.6646,14.67,62,91,1.69,RU,1695176262
33,stanley,54.868,-1.6985,16.82,82,20,12.86,GB,1695176262
34,tam ky,15.5667,108.4833,30.16,69,15,0.32,VN,1695176262
35,oltinko'l,40.8011,72.1634,20.21,31,43,5.2,UZ,1695176262
36,ancud,-41.8697,-73.8203,3.41,76,0,3.89,CL,1695176262
37,puerto natales,-51.7236,-72.4875,0.03,90,19,2.44,CL,1695176262
38,kidal,18.4411,1.4078,31.91,25,11,3.21,ML,1695176263
39,adamstown,-25.066,-130.1015,19.98,84,100,4.63,PN,1695176263
40,santa elena de uairen,4.6167,-61.1333,23.2,65,95,1.03,VE,1695176263
41,constantia,44.1833,28.65,16.5,68,94,2.62,RO,1695176263
42,tyukhtet,56.5389,89.3011,12.39,78,100,1.22,RU,1695176263
